name,round_number,damage_type,damage_code,total
cabdf57e-f606-447c-8947-8167110ac52b,1,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,2,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,3,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,4,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,5,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,6,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,7,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,8,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,9,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,10,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,11,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,12,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,13,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,14,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,15,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,16,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,17,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,18,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,19,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,20,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,21,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,22,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,23,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,24,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,25,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,26,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,27,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,28,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,29,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,30,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,31,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,32,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,33,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,34,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,35,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,36,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,37,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,38,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,39,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,40,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,41,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,42,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,43,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,44,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,45,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,46,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,47,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,48,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,49,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,50,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,51,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,52,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,53,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,54,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,55,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,56,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,57,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,58,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,59,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,60,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,61,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,62,Piercing,1d6 + 2,9
cabdf57e-f606-447c-8947-8167110ac52b,63,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,64,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,65,miss,miss,0
